code_site;site;subsite;species;species_code;soilHeight;stoneContent;wfc;wilt;propMacro;propMacroDeep;bulk;SOLCLAYtop;SOLCLAYsol;SOLFINtop;SOLFINsol;SOLSANDtop;SOLSANDsol;deepSoilDepth;stoneContentDeep;prac;pracDeep
bg_bas_ph;Bauges;Bas;Fagus;ph;1600;0.094;0.372;0.251;0;0;1;0.418;0.418;0.882;0.882;0.118;0.118;0;0;0.5;0
bg_bas_sp;Bauges;Bas;Abies;sp;1600;0.093;0.355;0.211;0;0;1;0.381;0.381;0.87;0.87;0.13;0.13;0;0;0.5;0
bg_bas_m;Bauges;Bas;Fagus/Abies;m;1600;0.219;0.372;0.251;0;0;1;0.409;0.409;0.897;0.897;0.103;0.103;0;0;0.5;0
bg_haut_ph;Bauges;Haut;Fagus;ph;1600;0.24;0.355;0.211;0;0;1;0.342;0.342;0.645;0.645;0.355;0.355;0;0;0.5;0
bg_haut_sp;Bauges;Haut;Abies;sp;1600;0.126;0.355;0.211;0;0;1;0.359;0.359;0.848;0.848;0.152;0.152;0;0;0.5;0
bg_haut_m;Bauges;Haut;Fagus/Abies;m;1600;0.19;0.312;0.136;0;0;1;0.25;0.25;0.579;0.579;0.421;0.421;0;0;0.5;0
bg_inter_ph;Bauges;Inter;Fagus;ph;1600;0.169;0.355;0.211;0;0;1;0.38;0.38;0.7635;0.7635;0.2365;0.2365;0;0;0.5;0
bg_inter_sp;Bauges;Inter;Abies;sp;1600;0.109;0.355;0.211;0;0;1;0.37;0.37;0.859;0.859;0.141;0.141;0;0;0.5;0
bg_inter_m;Bauges;Inter;Fagus/Abies;m;1600;0.203;0.355;0.211;0;0;1;0.3295;0.3295;0.738;0.738;0.262;0.262;0;0;0.5;0
lub_bas_ph;Lubéron;Bas;Fagus;ph;1600;0.487;0.355;0.211;0;0;1;0.366;0.366;0.834;0.834;0.166;0.166;0;0;0.5;0
lub_bas_pc;Lubéron;Bas;Quercus;pc;1600;0.437;0.372;0.251;0;0;1;0.484;0.484;0.857;0.857;0.143;0.143;0;0;0.5;0
lub_bas_m;Lubéron;Bas;Fagus/Quercus;m;1600;0.512;0.372;0.251;0;0;1;0.497;0.497;0.867;0.867;0.133;0.133;0;0;0.5;0
lub_haut_ph;Lubéron;Haut;Fagus;ph;1600;0.503;0.372;0.251;0;0;1;0.43;0.43;0.884;0.884;0.116;0.116;0;0;0.5;0
lub_haut_pc;Lubéron;Haut;Quercus;pc;1600;0.365;0.372;0.251;0;0;1;0.513;0.513;0.92;0.92;0.08;0.08;0;0;0.5;0
